"ID_place","Author","Project","Year","Status","Public","Latitude","Longitude","Country","Name_mod","Name_hist","Hydro_type","Hydro_name_mod","Hydro_name_hist","Locat_secure","Locat_text","Locat_precision","Source_hist","Source_feature_arch","Source_find_arch","Source_other","Place_type_general","Place_technique","Place_topography","Place_infrastructure","Place_function","Place_goods_finds","Actors_Activity","Place_hierarchy","Place_secure_info","Date_min","Date_max","Date_pre_1_cent_BC","Date_1_cent_BC","Date_1_cent_AD","Date_2_cent_AD","Date_3_cent_AD","Date_4_cent_AD","Date_5_cent_AD","Date_6_cent_AD","Date_7_cent_AD","Date_8_cent_AD","Date_9_cent_AD","Date_10_cent_AD","Date_11_cent_AD","Date_12_cent_AD","Date_13_cent_AD","Date_14_cent_AD","Date_15_cent_AD","Date_16_cent_AD","Date_17_cent_AD","Date_18_cent_AD","Date_19_cent_AD","Date_20_cent_AD","Date_secure","Date_text","Ref_hist","Ref_mod","Comments"
1,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",41.13,45.012,"Armenia","Jujevan",,"lake","Unknown",,"very uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-900,-800,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated by the archaeological record",,"Balayan 2000, S. 330","Logboat was part of a burial"
2,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",40.308,45.387,"Armenia","Lake Sevan",,"lake","Sewansee",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Balayan 2000, S. 329f.",
3,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",48.382,15.835,"Austria","Altenwörth",,"river","Danube",,"highly reliable",,,"yes","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,1810,1810,,,,,,,,,,,,,,,,,,,,,"yes",,"reliable","Dated via written sources",,"Schaefer o.J.; Schaefer 1985a; Schaefer 1985b",
4,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",48.3,13.288,"Austria","Auspitz",,"river","Inn",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Werner 1973, S. 43; Pohl 2009, S. 74; Hirte 1987, S. 359",
5,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.262,13.544,"Austria","Grünwaldsee 1",,"lake","Grünwaldsee",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Werner 1973, S. 43; Hirte 1987, S. 357",
6,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.262,13.544,"Austria","Grünwaldsee 2",,"lake","Grünwaldsee",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Werner 1973, S. 43; Hirte 1987, S. 357",
7,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",46.605,14.585,"Austria","Klopeiner See 1",,"lake","Klopeiner See",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1632,1786,,,,,,,,,,,,,,,,,,,"yes","yes",,,"reliable","Dated via radiocarbon dating (240 +/- 35 BP)",,"Stradal/Dworsky 2002; Gleirscher 2006, S. 48ff.",
8,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",46.605,14.586,"Austria","Klopeiner See 2",,"lake","Klopeiner See",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,357,421,,,,,,"yes","yes",,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1650 +/- 30 BP)",,"Stradal/Dworsky 2002; Gleirscher 2006, S. 48ff.",
9,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.192,11.028,"Austria","Kühtai",,"lake","Finstertaler See",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1725,1725,,,,,,,,,,,,,,,,,,,,"yes",,,"reliable","Dated via radiocarbon dating (210 BP)",,"Hirte 1987, S. 352",
10,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",46.789,14.425,"Austria","Längsee",,"lake","Längsee",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1470,1660,,,,,,,,,,,,,,,,,"assumed","yes","assumed",,,,"reliable","Dated via radiocarbon dating",,"Cichocki 2013, S. 48",
11,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",48.368,13.849,"Austria","Lindbruck",,"river","Leitenbach",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Werner 1973, S. 43; Hirte 1987, S. 358",
12,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",48.16,13.347,"Austria","Oberndorf",,"river","Mettmach",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Werner 1973, S. 43; Hirte 1987, S. 358",
13,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",46.891,12.206,"Austria","Obersee",,"lake","Obersee",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1067,1093,,,,,,,,,,,,,"yes",,,,,,,,,,"reliable","Dated via dendrochronology and radiocarbon dating (1055+/-25 BP)",,"Reitmaier/Nicolussi 2002",
14,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.962,13.093,"Austria","Obertrumer See",,"lake","Obertrumer See",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,684,1415,,,,,,,,,"assumed","assumed","assumed",,,,"assumed","assumed","assumed",,,,,,"uncertain","Dated via radiocarbon dating (684-888 / 1285-1415)",,"Pohl 2009, S. 76ff.",
15,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.799,13.045,"Austria","Salzburg 1 (Museumsstück ohne Fundangabe)",,"lake","Unknown",,"very uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1546,1546,,,,,,,,,,,,,,,,,,"yes",,,,,"reliable","Dated via dendrochronology",,"Pohl 2009, S. 81ff.",
16,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.799,13.046,"Austria","Salzburg 2 (Museumsstück ohne Fundangabe)",,"lake","Unknown",,"very uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Pohl 2009, S. 81ff.","Similarities to a find from Pforzheim"
17,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.799,13.046,"Austria","Salzburg 3 (Museumsstück ohne Fundangabe)",,"lake","Unknown",,"very uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Pohl 2009, S. 81ff.",
18,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.8,13.046,"Austria","Salzburg 4 (Museumsstück ohne Fundangabe)",,"lake","Unknown",,"very uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1514,1514,,,,,,,,,,,,,,,,,,"yes",,,,,"reliable","Dated via dendrochronology",,"Pohl 2009, S. 81ff.",
19,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",46.576,14.395,"Austria","Sattnitzmoor I",,"lake","Sattnitzmoor",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-2000,-1000,"assumed",,,,,,,,,,,,,,,,,,,,,,"uncertain","Dated via pollen profile",,"Gleirscher 2006, S. 51ff.; Hirte 1987, S. 360f.",
20,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",46.576,14.395,"Austria","Sattnitzmoor II",,"lake","Sattnitzmoor",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-2000,-1000,"assumed",,,,,,,,,,,,,,,,,,,,,,"uncertain","Dated via pollen profile",,"Gleirscher 2006, S. 51ff.; Hirte 1987, S. 360f.",
21,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",46.786,14.427,"Austria","St. Georgen",,"lake","Längsee",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-1630,-1460,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating",,"Cichocki 2013, S. 48",
22,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",48.19,12.875,"Austria","Überackern",,"river","Mühlbach",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"Werner 1973, S. 43f.; Hirte 1987, S. 360",
23,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.775,13.023,"Austria","Untersberger Moor",,"lake","Untersberger Moor",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-1513,-1416,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating",,"Werner 1973, S. 43; Pohl 2009, S. 79ff.; Hirte 1987, S. 357","Interpretation as a logboat is quite insecure"
24,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",47.921,13.171,"Austria","Wallersee",,"lake","Wallersee",,"highly reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-320,-207,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating",,"Werner 1973, S. 44; Pohl 2009, S. 74ff.; Hirte 1987, S. 362",
25,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",46.625,14.155,"Austria","Wörther See",,"lake","Wörther See",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,760,890,,,,,,,,,,"assumed","yes",,,,,,,,,,,,"reliable","Dated via radiocarbon dating",,"Cichocki 2013, S. 44f.",
26,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.24,4.407,"Belgium","Antwerpen, Lefebvre 1",,"river","Schelde",,"reliable",,,"no","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,1200,1300,,,,,,,,,,,,,,,"assumed",,,,,,,,"uncertain","Dated by the geological record",,"van de Moortel 2011, S. 79; Ellmers 1972, S. 286",
27,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.24,4.407,"Belgium","Antwerpen, Lefebvre 2",,"river","Schelde",,"reliable",,,"no","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,1200,1300,,,,,,,,,,,,,,,"assumed",,,,,,,,"uncertain","Dated by the geological record",,"van de Moortel 2011, S. 80; Ellmers 1972, S. 286",
28,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.24,4.407,"Belgium","Antwerpen, Lefebvre 3",,"river","Schelde",,"reliable",,,"no","yes","yes",,"vessel","unknown",,,,,,,,1200,1300,,,,,,,,,,,,,,,"assumed",,,,,,,,"uncertain","Dated by the geological record",,"van de Moortel 2011, S. 99; Ellmers 1972, S. 286",
29,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.24,4.407,"Belgium","Antwerpen, Lefebvre 4",,"river","Schelde",,"reliable",,,"no","yes","yes",,"vessel","unknown",,,,,,,,1200,1300,,,,,,,,,,,,,,,"assumed",,,,,,,,"uncertain","Dated by the geological record",,"van de Moortel 2011, S. 99; Ellmers 1972, S. 286",
30,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.233,4.351,"Belgium","Antwerpen, Linkeroever",,"river","Schelde",,"uncertain",,,"no","yes","yes",,"vessel","keelboat",,,,,,,,1470,1650,,,,,,,,,,,,,,,,,"assumed","yes","assumed",,,,"highly reliable","Dated via radiocarbon dating",,"van de Moortel 2011, S. 96",
31,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.237,4.421,"Belgium","Antwerpen, Steenborgerweert Polder I",,"river","Schelde",,"reliable",,,"no","yes","yes",,"vessel","planked vessel",,,,,,,,1000,1100,,,,,,,,,,,,,"yes",,,,,,,,,,"reliable","Dated by the archaeological record",,"van de Moortel 2011, S. 91",
32,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",51.237,4.422,"Belgium","Antwerpen, Steenborgerweert Polder II",,"river","Schelde",,"reliable",,,"no","yes","yes",,"vessel","planked vessel",,,,,,,,1000,1100,,,,,,,,,,,,,"yes",,,,,,,,,,"reliable","Dated by the archaeological record",,"van de Moortel 2011, S. 91",
33,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",51.247,4.384,"Belgium","Antwerpen-Oostruweel I",,"river","Schelde",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,905,1158,,,,,,,,,,,,"yes","yes","assumed",,,,,,,,,"reliable","Dated via radiocarbon dating (1050 +/- 65; 990 +/- 45; 940 +/- 60 BP)",,"Hirte 1987, S. 406f.; Lanting 1998, S. 636",
34,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",51.247,4.384,"Belgium","Antwerpen-Oostruweel II",,"river","Schelde",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1168,1246,,,,,,,,,,,,,,"yes","yes",,,,,,,,"reliable","Dated via radiocarbon dating (820 +/- 45 BP)",,"Hirte 1987, S. 407f.; Lanting 1998, S. 636",
35,"M. Foucher/L. Kröger","Binnenhäfen/Inland harbours",2016,1,"open",51.245,4.399,"Belgium","Anvers (Amerikadok)",,"river","Escaut",,"reliable",,"2",,"yes","yes",,"vessel","flat-bottomed vessel",,,"inland vessel;seagoing vessel",,"shipwreck",,"explicit archaeological features",1200,1500,,,,,,,,,,,,,,,"assumed","assumed","assumed",,,,,,"uncertain","Dated by the archaeological record (Late Middle Ages)",,"Demerre u.a. 2009, 33",
36,"M. Foucher/L. Kröger","Binnenhäfen/Inland harbours",2016,1,"open",51.256,4.316,"Belgium","Anvers (Bassin portuaire A)",,"river","Escaut",,"reliable",,"3",,"yes","yes",,"vessel","flat-bottomed vessel",,,"inland vessel",,"shipwreck",,"explicit archaeological features",1000,1100,,,,,,,,,,,,,"assumed",,,,,,,,,,"uncertain","Dated by the archaeological record",,"Demerre u.a. 2009, 33",
